Datetime,Nuclear,Gas,Hydro,Wind,Solar,Biofuel
2016-01-01 00:00:00,11188.0,919.0,2994.0,1255.0,0.0,3.0
2016-01-01 01:00:00,11021.0,918.0,2999.0,1483.0,0.0,3.0
2016-01-01 02:00:00,10904.0,920.0,3012.0,1133.0,0.0,8.0
2016-01-01 03:00:00,10425.0,922.0,3005.0,1347.0,0.0,7.0
2016-01-01 04:00:00,10411.0,921.0,3030.0,0.0,0.0,2.0
2016-01-01 05:00:00,10412.0,920.0,2998.0,0.0,0.0,2.0
2016-01-01 06:00:00,10411.0,921.0,3074.0,1469.0,0.0,2.0
2016-01-01 07:00:00,10415.0,922.0,3127.0,1762.0,0.0,2.0
2016-01-01 08:00:00,10412.0,920.0,3362.0,1652.0,1.0,2.0
2016-01-01 09:00:00,10414.0,919.0,3482.0,1766.0,12.0,2.0
2016-01-01 10:00:00,10414.0,921.0,3747.0,2024.0,33.0,3.0
2016-01-01 11:00:00,10409.0,918.0,3779.0,2324.0,103.0,2.0
2016-01-01 12:00:00,10410.0,914.0,3804.0,2684.0,89.0,2.0
2016-01-01 13:00:00,10485.0,911.0,3738.0,2806.0,71.0,2.0
2016-01-01 14:00:00,10710.0,910.0,3644.0,2609.0,25.0,2.0
2016-01-01 15:00:00,10715.0,913.0,3667.0,2569.0,25.0,2.0
2016-01-01 16:00:00,11045.0,917.0,4183.0,2244.0,3.0,2.0
2016-01-01 17:00:00,11425.0,924.0,4882.0,2154.0,0.0,2.0
2016-01-01 18:00:00,11542.0,923.0,4897.0,2022.0,0.0,2.0
2016-01-01 19:00:00,11543.0,920.0,4663.0,1862.0,0.0,2.0
2016-01-01 20:00:00,11539.0,921.0,4361.0,1804.0,0.0,2.0
2016-01-01 21:00:00,11521.0,921.0,4114.0,1741.0,0.0,2.0
2016-01-01 22:00:00,11528.0,923.0,3426.0,1415.0,0.0,2.0
2016-01-01 23:00:00,11523.0,922.0,3125.0,1412.0,0.0,2.0
2016-01-02 00:00:00,11385.0,920.0,3166.0,1125.0,0.0,2.0
2016-01-02 01:00:00,11018.0,922.0,3193.0,1238.0,0.0,2.0
2016-01-02 02:00:00,11012.0,918.0,3098.0,1131.0,0.0,2.0
2016-01-02 03:00:00,11012.0,921.0,3079.0,0.0,0.0,2.0
2016-01-02 04:00:00,11020.0,921.0,3075.0,0.0,0.0,2.0
2016-01-02 05:00:00,11018.0,920.0,3131.0,0.0,0.0,2.0
